Rank,IRM,IBUId,Name,Nat,Shootings,ShootingTotal,TotalTime,WC,NC,BibColor,Behind,PursuitStartDistance,ResultOrder_shooting,TotalTime_shooting,Behind_shooting,ResultOrder_range,TotalTime_range,Behind_range,ResultOrder_ski,TotalTime_ski,Behind_ski,RaceId,EventId,EventName,RaceName,RaceDate,Season,Genre
11,,BTFIN21101198301,MAKARAINEN Kaisa,FIN,1+0+2+0,3,44:32.8,30,130,,+1:35.4,0,81.0,2:27.6,+51.1,61,3:55.1,+48.2,2,37:37.6,+23.0,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
12,,BTCZE20912198801,VITKOVA Veronika,CZE,0+1+0+1,2,44:37.2,29,129,,+1:39.8,0,21.0,1:58.4,+21.9,25,3:37.1,+30.2,13,39:00.0,+1:45.4,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
13,,BTGER22403198701,HILDEBRAND Franziska,GER,0+0+0+1,1,44:44.1,28,128,,+1:46.7,0,54.0,2:16.4,+39.9,59,3:54.4,+47.5,29,39:49.6,+2:35.0,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
14,,BTBLR20308198602,DOMRACHEVA Darya,BLR,1+1+0+1,3,44:45.2,27,127,,+1:47.8,0,32.0,2:05.0,+28.5,30,3:39.0,+32.1,5,38:05.9,+51.3,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
15,,BTSWE22706199401,GESTBLOM Linn,SWE,0+0+0+0,0,44:52.3,26,126,,+1:54.9,0,41.0,2:10.6,+34.1,32,3:39.1,+32.2,65,41:13.0,+3:58.4,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
16,,BTSUI20304198401,GASPARIN Selina,SUI,1+1+0+0,2,45:04.3,25,125,,+2:06.9,0,77.0,2:25.7,+49.2,77,4:01.8,+54.9,14,39:02.4,+1:47.8,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
17,,BTAUT21612199301,HAUSER Lisa Theresa,AUT,0+0+0+1,1,45:06.7,24,124,,+2:09.3,0,2.0,1:41.6,+5.1,4,3:16.1,+9.2,53,40:50.6,+3:36.0,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
18,,BTFIN20911198701,EDER Mari,FIN,0+0+0+2,2,45:07.7,23,123,,+2:10.3,0,75.0,2:24.8,+48.3,69,3:58.5,+51.6,16,39:09.1,+1:54.5,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
19,,BTGER20905198901,HORCHLER Karolin,GER,0+0+0+1,1,45:08.0,22,122,,+2:10.6,0,61.0,2:18.1,+41.6,51,3:49.7,+42.8,38,40:18.1,+3:03.5,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
20,,BTKAZ21002199401,VISHNEVSKAYA-SHEPORENKO Galina,KAZ,0+0+0+1,1,45:11.3,21,121,,+2:13.9,0,42.0,2:11.1,+34.6,43,3:46.3,+39.4,41,40:24.7,+3:10.1,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
21,,BTITA20402199501,VITTOZZI Lisa,ITA,1+0+1+0,2,45:14.5,20,120,,+2:17.1,0,14.0,1:56.9,+20.4,10,3:28.7,+21.8,27,39:45.7,+2:31.1,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
22,,BTNOR22105199001,ECKHOFF Tiril,NOR,0+1+1+1,3,45:21.5,19,119,,+2:24.1,0,99.0,2:49.2,+1:12.7,94,4:16.5,+1:09.6,4,38:04.7,+50.1,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
23,,BTGER22010198801,HERRMANN-WICK Denise,GER,0+2+1+1,4,45:22.9,18,118,,+2:25.5,0,94.0,2:39.5,+1:03.0,85,4:08.0,+1:01.1,1,37:14.6,0.0,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
24,,BTFRA21505198701,BESCOND Anais,FRA,1+0+1+1,3,45:24.1,17,117,,+2:26.7,0,33.0,2:06.9,+30.4,21,3:35.2,+28.3,8,38:48.6,+1:34.0,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
25,,BTSWE20211199501,OEBERG Hanna,SWE,1+1+1+0,3,45:27.9,16,116,,+2:30.5,0,20.0,1:58.3,+21.8,9,3:28.3,+21.4,12,38:59.4,+1:44.8,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
26,,BTFRA20508199101,AYMONIER Celia,FRA,1+0+0+2,3,45:34.7,15,115,,+2:37.3,0,100.0,2:51.2,+1:14.7,100,4:23.6,+1:16.7,6,38:10.7,+56.1,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
27,,BTRUS20505199401,SLIVKO Victoria,RUS,0+1+0+0,1,45:45.0,14,114,,+2:47.6,0,90.0,2:35.2,+58.7,76,4:01.3,+54.4,50,40:43.5,+3:28.9,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
28,,BTUKR20407199201,PETRENKO Iryna,UKR,0+0+0+0,0,45:47.8,13,113,,+2:50.4,0,16.0,1:57.2,+20.7,14,3:31.6,+24.7,81,42:15.9,+5:01.3,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
29,,BTLAT22706199101,BENDIKA Baiba,LAT,0+0+0+1,1,45:51.3,12,112,,+2:53.9,0,999.0,2:15.8,+39.3,63,3:55.4,+48.5,57,40:55.7,+3:41.1,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
30,,BTGER21103199401,PREUSS Franziska,GER,0+1+0+1,2,45:53.7,11,,,+2:56.3,0,17.0,1:57.3,+20.8,13,3:31.2,+24.3,39,40:22.3,+3:07.7,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
31,,BTGBR23001198701,LIGHTFOOT Amanda,GBR,0+0+0+1,1,45:55.6,10,110,,+2:58.2,0,56.0,2:16.8,+40.3,42,3:45.0,+38.1,64,41:10.2,+3:55.6,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
31,,BTNOR22309199601,TANDREVOLD Ingrid Landmark,NOR,0+0+1+1,2,45:55.6,10,,,+2:58.2,0,46.0,2:12.9,+36.4,61,3:55.1,+48.2,32,40:00.2,+2:45.6,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
33,,BTRUS22302198502,YURLOVA-PERCHT Ekaterina,RUS,0+1+0+1,2,45:58.4,8,108,,+3:01.0,0,35.0,2:07.1,+30.6,36,3:40.8,+33.9,37,40:17.4,+3:02.8,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
34,,BTKAZ21309198701,POLTORANINA Olga,KAZ,0+0+1+0,1,46:06.5,7,107,,+3:09.1,0,85.0,2:29.8,+53.3,71,3:59.5,+52.6,62,41:06.7,+3:52.1,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
35,,BTGER22410198902,HAMMERSCHMIDT Maren,GER,0+2+0+1,3,46:08.6,6,,,+3:11.2,0,39.0,2:08.9,+32.4,38,3:41.3,+34.4,19,39:27.2,+2:12.6,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
36,,BTBLR20603198801,YURKEVICH Darya,BLR,0+0+0+0,0,46:21.5,5,105,,+3:24.1,0,93.0,2:39.3,+1:02.8,92,4:13.9,+1:07.0,79,42:07.5,+4:52.9,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
37,,BTUKR21401199501,MERKUSHYNA Anastasiya,UKR,0+1+0+1,2,46:21.6,4,,,+3:24.2,0,6.0,1:48.0,+11.5,11,3:28.9,+22.0,54,40:52.6,+3:38.0,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
38,,BTBLR23007199101,LESHCHANKA Iryna,BLR,1+1+1+0,3,46:22.7,3,,,+3:25.3,0,36.0,2:08.3,+31.8,47,3:48.1,+41.2,23,39:34.4,+2:19.8,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
39,,BTCAN22305198801,CRAWFORD Rosanna,CAN,0+0+1+2,3,46:30.0,2,102,,+3:32.6,0,27.0,2:02.6,+26.1,17,3:34.1,+27.2,31,39:55.7,+2:41.1,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
40,,BTUKR21801198602,SEMERENKO Vita,UKR,1+1+1+0,3,46:34.2,1,,,+3:36.8,0,64.0,2:18.6,+42.1,54,3:51.1,+44.2,25,39:43.0,+2:28.4,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
41,,BTFRA21202199301,CHEVALIER-BOUCHET Anais,FRA,0+1+0+1,2,46:34.4,,,,+3:37.0,0,91.0,2:35.9,+59.4,88,4:08.7,+1:01.8,43,40:25.5,+3:10.9,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
42,,BTAUT20301199401,ZDOUC Dunja,AUT,0+0+0+0,0,46:38.6,,99,,+3:41.2,0,18.0,1:57.4,+20.9,30,3:39.0,+32.1,90,42:59.4,+5:44.8,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
43,,BTSWE21811199302,NILSSON Emma,SWE,0+0+0+2,2,46:40.9,,,,+3:43.5,0,65.0,2:20.8,+44.3,56,3:53.0,+46.1,52,40:47.8,+3:33.2,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
44,,BTPOL20707198601,NOWAKOWSKA Weronika,POL,0+3+0+0,3,46:44.7,,97,,+3:47.3,0,95.0,2:40.8,+1:04.3,91,4:10.3,+1:03.4,22,39:34.2,+2:19.6,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
45,,BTEST22706199301,TALIHAERM Johanna,EST,0+1+1+0,2,46:55.3,,96,,+3:57.9,0,76.0,2:25.6,+49.1,72,3:59.9,+53.0,56,40:55.2,+3:40.6,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
46,,BTGER22403199201,HINZ Vanessa,GER,0+2+1+0,3,46:56.7,,,,+3:59.3,0,69.0,2:22.3,+45.8,58,3:54.2,+47.3,33,40:02.2,+2:47.6,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
47,,BTNOR22311199001,NICOLAISEN Kaia Woeien,NOR,1+0+0+1,2,46:57.5,,,,+4:00.1,0,999.0,2:17.6,+41.1,53,3:50.9,+44.0,61,41:06.5,+3:51.9,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
48,,BTRUS22401198901,VIROLAINEN Daria,RUS,0+3+0+0,3,46:59.2,,93,,+4:01.8,0,29.0,2:03.2,+26.7,15,3:32.1,+25.2,44,40:27.1,+3:12.5,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
49,,BTSVK22211199401,FIALKOVA Ivona,SVK,0+1+0+3,4,47:01.2,,92,,+4:03.8,0,44.0,2:12.2,+35.7,41,3:44.7,+37.8,17,39:16.3,+2:01.7,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
50,,BTRUS22610199002,AVVAKUMOVA Ekaterina,KOR,2+0+1+0,3,47:03.9,,91,,+4:06.5,0,45.0,2:12.5,+36.0,50,3:48.6,+41.7,35,40:15.2,+3:00.6,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
51,,BTSUI20107199501,HAECKI-GROSS Lena,SUI,1+1+0+2,4,47:05.3,,90,,+4:07.9,0,5.0,1:46.8,+10.3,6,3:22.1,+15.2,24,39:42.9,+2:28.3,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
52,,BTITA20304199001,WIERER Dorothea,ITA,2+1+1+1,5,47:07.3,,89,,+4:09.9,0,9.0,1:53.1,+16.6,2,3:13.6,+6.7,9,38:53.6,+1:39.0,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
53,,BTUSA22502198301,DUNKLEE Susan,USA,1+0+1+2,4,47:10.1,,88,,+4:12.7,0,3.0,1:41.7,+5.2,5,3:16.9,+10.0,30,39:53.0,+2:38.4,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
54,,BTSWE23103199501,MAGNUSSON Anna,SWE,2+0+1+0,3,47:18.4,,,,+4:21.0,0,67.0,2:21.4,+44.9,65,3:56.1,+49.2,39,40:22.3,+3:07.7,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
55,,BTFRA21906198601,DORIN HABERT Marie,FRA,2+2+0+0,4,47:19.9,,,,+4:22.5,0,62.0,2:18.2,+41.7,47,3:48.1,+41.2,20,39:31.6,+2:17.0,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
56,,BTPOL20408197901,GWIZDON Magdalena,POL,1+0+0+2,3,47:20.4,,85,,+4:23.0,0,40.0,2:10.5,+34.0,44,3:46.8,+39.9,48,40:33.5,+3:18.9,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
57,,BTSLO21005199701,POJE Urska,SLO,0+0+0+1,1,47:23.7,,84,,+4:26.3,0,4.0,1:44.7,+8.2,3,3:15.7,+8.8,91,43:07.8,+5:53.2,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
58,,BTUKR20901198701,BILOSIUK Olena,UKR,0+1+1+1,3,47:23.9,,,,+4:26.5,0,70.0,2:23.0,+46.5,57,3:53.6,+46.7,46,40:30.1,+3:15.5,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
59,,BTJPN22505199001,MAEDA Sari,JPN,1+1+0+2,4,47:31.2,,82,,+4:33.8,0,66.0,2:20.9,+44.4,67,3:57.5,+50.6,21,39:33.4,+2:18.8,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
60,,BTAUT22912199301,RIEDER Christina,AUT,1+0+0+0,1,47:36.2,,81,,+4:38.8,0,48.0,2:13.5,+37.0,65,3:56.1,+49.2,87,42:40.1,+5:25.5,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
61,,BTCZE22807199401,JISLOVA Jessica,CZE,0+0+1+1,2,47:42.2,,80,,+4:44.8,0,15.0,1:57.0,+20.5,26,3:37.7,+30.8,78,42:04.3,+4:49.7,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
62,,BTCZE22112198901,JOHANIDESOVA Lea,CZE,0+0+0+0,0,47:58.1,,,,+5:00.7,0,999.0,2:15.8,+39.3,60,3:54.8,+47.9,96,44:03.0,+6:48.4,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
63,,BTPOL22708199101,HOJNISZ-STAREGA Monika,POL,0+2+0+1,3,47:59.6,,78,,+5:02.2,0,999.0,2:29.4,+52.9,81,4:05.1,+58.2,55,40:54.3,+3:39.7,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
64,,BTSUI22310199101,CADURISCH Irene,SUI,2+0+1+0,3,48:05.3,,77,,+5:07.9,0,1.0,1:36.5,0.0,1,3:06.9,0.0,75,41:58.2,+4:43.6,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
65,,BTKOR20208198801,MUN Jihee,KOR,0+0+0+3,3,48:20.9,,76,,+5:23.5,0,22.0,1:58.7,+22.2,33,3:39.5,+32.6,72,41:41.1,+4:26.5,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
66,,BTITA22711199101,RUNGGALDIER Alexia,ITA,0+2+0+1,3,48:29.0,,75,,+5:31.6,0,31.0,2:04.8,+28.3,24,3:36.9,+30.0,73,41:51.8,+4:37.2,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
67,,BTSVK20204198901,POLIAKOVA Terezia,SVK,0+1+0+2,3,49:00.2,,74,,+6:02.8,0,47.0,2:13.0,+36.5,74,4:00.8,+53.9,76,41:59.2,+4:44.6,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
68,,BTSUI20212199101,GASPARIN Elisa,SUI,3+1+0+0,4,49:02.1,,,,+6:04.7,0,19.0,1:58.1,+21.6,23,3:36.6,+29.7,68,41:25.4,+4:10.8,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
69,,BTRUS20508199201,PODCHUFAROVA Olga,RUS,0+0+1+2,3,49:04.2,,,,+6:06.8,0,28.0,2:03.1,+26.6,20,3:35.1,+28.2,85,42:28.7,+5:14.1,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
70,,BTKAZ21408199101,KOLOMIYETS Alina,KAZ,0+1+1+1,3,49:06.1,,71,,+6:08.7,0,43.0,2:11.7,+35.2,44,3:46.8,+39.9,84,42:19.2,+5:04.6,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
71,,BTJPN21301198901,TACHIZAKI Fuyuko,JPN,1+3+0+1,5,49:11.0,,70,,+6:13.6,0,50.0,2:15.5,+39.0,63,3:55.4,+48.5,36,40:15.4,+3:00.8,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
72,,BTBUL20505198901,YORDANOVA Emiliya,BUL,1+1+1+0,3,49:18.7,,69,,+6:21.3,0,10.0,1:53.7,+17.2,37,3:41.1,+34.2,86,42:37.4,+5:22.8,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
73,,BTITA22410199001,SANFILIPPO Federica,ITA,3+0+1+0,4,49:21.5,,,,+6:24.1,0,97.0,2:45.0,+1:08.5,83,4:06.3,+59.4,66,41:14.9,+4:00.3,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
74,,BTCHN21005199201,ZHANG Yan,CHN,1+0+1+1,3,49:23.8,,67,,+6:26.4,0,98.0,2:46.1,+1:09.6,99,4:22.1,+1:15.2,77,42:01.6,+4:47.0,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
75,,BTCAN22208199701,BANKES Megan,CAN,2+1+0+0,3,49:26.3,,66,,+6:28.9,0,999.0,1:56.2,+19.7,22,3:35.9,+29.0,89,42:50.1,+5:35.5,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
76,,BTRUS21101198401,FROLINA Anna,KOR,2+1+1+2,6,49:29.3,,65,,+6:31.9,0,999.0,2:08.6,+32.1,35,3:40.2,+33.3,28,39:49.1,+2:34.5,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
77,,BTJPN20204199001,MITSUHASHI Rina,JPN,1+0+0+2,3,49:32.5,,64,,+6:35.1,0,999.0,2:34.7,+58.2,93,4:16.3,+1:09.4,82,42:16.1,+5:01.5,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
78,,BTFIN20812199401,MINKKINEN Suvi,FIN,0+1+0+1,2,49:44.7,,63,,+6:47.3,0,24.0,1:59.8,+23.3,19,3:35.0,+28.1,97,44:09.4,+6:54.8,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
79,,BTUSA21911198701,EGAN Clare,USA,0+2+1+2,5,49:49.9,,62,,+6:52.5,0,74.0,2:24.6,+48.1,80,4:02.9,+56.0,51,40:46.7,+3:32.1,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
80,,BTRUS22610199001,AKIMOVA Tatiana,RUS,0+3+0+2,5,49:50.0,,,,+6:52.6,0,63.0,2:18.5,+42.0,49,3:48.2,+41.3,59,41:01.7,+3:47.1,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
81,,BTUSA22911198801,DREISSIGACKER Emily,USA,0+0+1+2,3,50:00.9,,59,,+7:03.5,0,23.0,1:59.2,+22.7,34,3:40.1,+33.2,93,43:20.6,+6:06.0,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
82,,BTKAZ20609198901,KLIMINA Darya,KAZ,1+1+2+1,5,50:01.8,,,,+7:04.4,0,102.0,2:59.5,+1:23.0,102,4:32.3,+1:25.4,45,40:29.5,+3:14.9,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
83,,BTCAN20209199101,LUNDER Emma,CAN,0+0+2+3,5,50:03.7,,,,+7:06.3,0,11.0,1:55.8,+19.3,12,3:30.4,+23.5,70,41:33.0,+4:18.4,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
84,,BTFIN21404199001,LAARI Sanna,FIN,0+1+0+1,2,50:04.3,,,,+7:06.9,0,92.0,2:36.8,+1:00.3,96,4:17.4,+1:10.5,95,43:46.7,+6:32.1,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
85,,BTCZE20102199301,CHARVATOVA Lucie,CZE,0+2+1+3,6,50:06.3,,,,+7:08.9,0,999.0,1:56.2,+19.7,16,3:33.9,+27.0,47,40:32.1,+3:17.5,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
86,,BTSLO22610199201,ERZEN Anja,SLO,2+1+0+2,5,50:16.7,,49,,+7:19.3,0,82.0,2:29.0,+52.5,90,4:09.1,+1:02.2,63,41:07.4,+3:52.8,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,Women 15km Individual,2017-11-29,1718,Female
