Rank,IRM,IBUId,Name,Nat,Shootings,ShootingTotal,TotalTime,WC,NC,BibColor,Behind,PursuitStartDistance,ResultOrder_shooting,TotalTime_shooting,Behind_shooting,ResultOrder_range,TotalTime_range,Behind_range,ResultOrder_ski,TotalTime_ski,Behind_ski,RaceId,EventId,EventName,RaceName,RaceDate,Season,Genre
27,,BTGER10103199301,REES Roman,GER,0+0+1+1,2,52:52.5,14,114,,+3:55.5,0,45.0,1:59.3,+22.9,38.0,3:22.0,+18.2,40.0,46:53.3,+2:41.9,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
28,,BTGER12403199001,DOLL Benedikt,GER,0+0+2+1,3,52:54.3,13,,,+3:57.3,0,999.0,1:54.6,+18.2,20.0,3:14.7,+10.9,25.0,46:04.7,+1:53.3,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
29,,BTAUT11012199101,KOMATZ David,AUT,0+0+1+0,1,52:58.3,12,112,,+4:01.3,0,999.0,2:16.4,+40.0,82.0,3:39.5,+35.7,54.0,47:44.1,+3:32.7,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
30,,BTAUT13012199101,LEMMERER Harald,AUT,1+0+0+0,1,53:01.6,11,111,,+4:04.6,0,75.0,2:09.2,+32.8,80.0,3:37.1,+33.3,56.0,47:50.0,+3:38.6,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
31,,BTSWE10310199201,NELIN Jesper,SWE,1+1+0+2,4,53:02.4,10,110,,+4:05.4,0,43.0,1:58.8,+22.4,50.0,3:27.3,+23.5,6.0,45:01.7,+50.3,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
32,,BTSUI10510198901,WEGER Benjamin,SUI,0+0+1+1,2,53:05.7,9,109,,+4:08.7,0,55.0,2:01.9,+25.5,62.0,3:29.9,+26.1,41.0,46:59.5,+2:48.1,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
33,,BTFRA11111199101,CLAUDE Florent,BEL,0+0+1+1,2,53:06.5,8,108,,+4:09.5,0,91.0,2:22.4,+46.0,89.0,3:49.3,+45.5,36.0,46:44.1,+2:32.7,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
34,,BTAUT10911198601,EBERHARD Julian,AUT,2+0+1+0,3,53:08.3,7,,,+4:11.3,0,999.0,1:54.6,+18.2,27.0,3:18.0,+14.2,27.0,46:14.7,+2:03.3,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
35,,BTLTU10806199101,DOMBROVSKI Karol,LTU,1+0+0+0,1,53:12.1,6,106,,+4:15.1,0,71.0,2:07.4,+31.0,71.0,3:34.4,+30.6,63.0,48:02.9,+3:51.5,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
36,,BTRUS11001199101,PASHCHENKO Petr,RUS,0+0+0+1,1,53:13.5,5,105,,+4:16.5,0,72.0,2:08.3,+31.9,67.0,3:32.1,+28.3,64.0,48:03.6,+3:52.2,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
37,,BTNOR11205199201,CHRISTIANSEN Vetle Sjaastad,NOR,0+1+1+2,4,53:18.9,4,,,+4:21.9,0,49.0,2:00.6,+24.2,56.0,3:28.6,+24.8,11.0,45:16.3,+1:04.9,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
38,,BTUSA10806199501,DOHERTY Sean,USA,0+0+2+0,2,53:25.1,3,103,,+4:28.1,0,999.0,1:55.7,+19.3,35.0,3:21.5,+17.7,47.0,47:28.7,+3:17.3,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
39,,BTGER11911199101,KUEHN Johannes,GER,1+1+0+1,3,53:31.6,2,,,+4:34.6,0,74.0,2:08.7,+32.3,77.0,3:35.9,+32.1,32.0,46:20.1,+2:08.7,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
40,,BTEST11909199201,ERMITS Kalev,EST,0+1+1+0,2,53:36.5,1,101,,+4:39.5,0,999.0,1:57.1,+20.7,38.0,3:22.0,+18.2,53.0,47:39.4,+3:28.0,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
41,,BTITA12202200001,BIONAZ Didier,ITA,1+1+0+0,2,53:38.6,,100,,+4:41.6,0,63.0,2:04.0,+27.6,59.0,3:29.7,+25.9,49.0,47:33.2,+3:21.8,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
42,,BTRUS12103199401,LATYPOV Eduard,RUS,1+0+1+2,4,53:40.4,,,,+4:43.4,0,33.0,1:56.9,+20.5,23.0,3:16.6,+12.8,20.0,45:46.8,+1:35.4,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
43,,BTFRA11305199201,FINELLO Jeremy,SUI,0+3+0+1,4,53:45.4,,98,,+4:48.4,0,56.0,2:02.0,+25.6,48.0,3:25.8,+22.0,19.0,45:45.0,+1:33.6,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
44,,BTJPN11705198801,TACHIZAKI Mikito,JPN,0+1+0+1,2,53:48.9,,97,,+4:51.9,0,8.0,1:42.5,+6.1,18.0,3:13.7,+9.9,62.0,47:58.6,+3:47.2,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
44,,BTCZE11802199401,VACLAVIK Adam,CZE,0+1+1+1,3,53:48.9,,97,,+4:51.9,0,89.0,2:20.0,+43.6,91.0,3:51.0,+47.2,34.0,46:22.8,+2:11.4,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
46,,BTUKR10908199701,TSYMBAL Bogdan,UKR,0+1+0+1,2,53:53.4,,95,,+4:56.4,0,999.0,2:01.7,+25.3,52.0,3:27.8,+24.0,55.0,47:46.2,+3:34.8,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
47,,BTBUL11703198701,ILIEV Vladimir,BUL,2+1+0+1,4,53:55.1,,94,,+4:58.1,0,64.0,2:04.6,+28.2,58.0,3:29.6,+25.8,22.0,45:50.3,+1:38.9,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
48,,BTSVK12804199201,SIMA Michal,SVK,1+0+0+0,1,53:55.2,,93,,+4:58.2,0,61.0,2:02.8,+26.4,69.0,3:32.5,+28.7,75.0,48:48.2,+4:36.8,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
49,,BTRUS12610199201,SUCHILOV Semen,RUS,1+1+1+0,3,54:01.6,,,,+5:04.6,0,19.0,1:51.4,+15.0,12.0,3:10.1,+6.3,43.0,47:14.7,+3:03.3,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
50,,BTSWE10809199501,PONSILUOMA Martin,SWE,2+0+3+1,6,54:26.8,,91,,+5:29.8,0,57.0,2:02.1,+25.7,42.0,3:22.7,+18.9,2.0,44:31.0,+19.6,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
51,,BTEST10210199401,ZAHKNA Rene,EST,1+0+0+0,1,54:48.8,,90,,+5:51.8,0,73.0,2:08.5,+32.1,85.0,3:45.3,+41.5,89.0,49:25.8,+5:14.4,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
52,,BTSLO12201199401,DOVZAN Miha,SLO,2+0+0+0,2,54:54.2,,89,,+5:57.2,0,2.0,1:36.6,+0.2,1.0,3:03.8,0.0,88.0,49:14.2,+5:02.8,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
53,,BTSUI10103200001,HARTWEG Niklas,SUI,0+0+1+0,1,54:54.3,,88,,+5:57.3,0,7.0,1:41.5,+5.1,15.0,3:10.8,+7.0,93.0,50:04.1,+5:52.7,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
54,,BTUSA12803199201,BROWN Jake,USA,1+0+2+0,3,55:01.4,,87,,+6:04.4,0,999.0,2:30.0,+53.6,96.0,3:59.0,+55.2,45.0,47:25.1,+3:13.7,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
55,,BTBUL10109199301,SINAPOV Anton,BUL,0+2+0+1,3,55:06.6,,86,,+6:09.6,0,999.0,1:55.7,+19.3,26.0,3:17.7,+13.9,68.0,48:11.8,+4:00.4,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
56,,BTUSA10606199201,SCHOMMER Paul,USA,1+1+1+0,3,55:16.2,,,,+6:19.2,0,90.0,2:20.8,+44.4,90.0,3:49.7,+45.9,57.0,47:51.9,+3:40.5,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
57,,BTLAT12006199901,BALODIS Rudis,LAT,0+0+1+0,1,55:17.0,,84,,+6:20.0,0,77.0,2:10.3,+33.9,49.0,3:26.8,+23.0,95.0,50:14.6,+6:03.2,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
58,,BTBLR11904199701,LABASTAU Mikita,BLR,0+1+1+0,2,55:19.4,,83,,+6:22.4,0,98.0,2:38.2,+1:01.8,97.0,4:02.2,+58.4,73.0,48:41.4,+4:30.0,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
59,,BTSUI11901199801,STALDER Sebastian,SUI,0+0+1+1,2,55:22.8,,,,+6:25.8,0,58.0,2:02.4,+26.0,73.0,3:34.9,+31.1,84.0,49:09.2,+4:57.8,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
60,,BTFIN12501199601,SEPPALA Tero,FIN,1+2+1+1,5,55:23.2,,81,,+6:26.2,0,46.0,1:59.5,+23.1,59.0,3:29.7,+25.9,30.0,46:19.0,+2:07.6,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
61,,BTBEL12410199101,LANGER Thierry,BEL,1+0+1+2,4,55:29.0,,80,,+6:32.0,0,999.0,2:01.7,+25.3,54.0,3:28.4,+24.6,46.0,47:26.8,+3:15.4,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
62,,BTSVK12308199001,HASILLA Tomas,SVK,0+2+0+1,3,55:30.4,,79,,+6:33.4,0,67.0,2:05.3,+28.9,66.0,3:32.0,+28.2,71.0,48:23.0,+4:11.6,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
63,,BTAUT13112199601,LEITNER Felix,AUT,1+2+2+0,5,55:36.2,,,,+6:39.2,0,92.0,2:26.4,+50.0,93.0,3:53.8,+50.0,26.0,46:06.9,+1:55.5,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
64,,BTCAN10611199001,GOW Scott,CAN,0+1+1+1,3,55:41.0,,77,,+6:44.0,0,3.0,1:38.8,+2.4,7.0,3:08.8,+5.0,79.0,48:54.7,+4:43.3,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
65,,BTFIN10108199701,RANTA Jaakko,FIN,0+1+0+2,3,55:53.4,,76,,+6:56.4,0,1.0,1:36.4,0.0,2.0,3:04.2,+0.4,87.0,49:12.5,+5:01.1,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
66,,BTBEL10404199601,LAHAYE-GOFFART Tom,BEL,0+1+0+2,3,55:58.0,,75,,+7:01.0,0,66.0,2:05.0,+28.6,64.0,3:30.6,+26.8,78.0,48:52.4,+4:41.0,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
67,,BTUKR11311199201,TKALENKO Ruslan,UKR,1+1+1+1,4,55:58.4,,74,,+7:01.4,0,999.0,1:47.4,+11.0,9.0,3:09.3,+5.5,69.0,48:13.3,+4:01.9,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
68,,BTSLO12808199201,TRSAN Rok,SLO,1+0+1+1,3,55:58.7,,73,,+7:01.7,0,4.0,1:39.5,+3.1,14.0,3:10.7,+6.9,86.0,49:10.8,+4:59.4,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
69,,BTFRA10511199701,PERRILLAT BOTTONET Martin,FRA,1+1+0+0,2,56:07.8,,,,+7:10.8,0,97.0,2:30.4,+54.0,98.0,4:03.2,+59.4,91.0,49:26.7,+5:15.3,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
70,,BTITA11904199801,BRAUNHOFER Patrick,ITA,0+1+1+1,3,56:26.5,,71,,+7:29.5,0,88.0,2:17.1,+40.7,83.0,3:39.8,+36.0,85.0,49:10.6,+4:59.2,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
71,,BTFRA12212199401,CLAUDE Fabien,FRA,2+1+2+2,7,56:31.2,,,,+7:34.2,0,999.0,1:57.1,+20.7,29.0,3:18.6,+14.8,15.0,45:36.9,+1:25.5,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
72,,BTUKR10511199101,PIDRUCHNYI Dmytro,UKR,1+2+0+2,5,56:53.3,,,,+7:56.3,0,6.0,1:40.8,+4.4,9.0,3:09.3,+5.5,65.0,48:05.7,+3:54.3,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
73,,BTGER10607199401,FRATZSCHER Lucas,GER,2+0+1+2,5,56:54.5,,,,+7:57.5,0,25.0,1:54.1,+17.7,36.0,3:21.6,+17.8,60.0,47:54.5,+3:43.1,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
74,,BTSWE12403199201,FEMLING Peppe,SWE,0+2+1+2,5,56:59.4,,,,+8:02.4,0,50.0,2:01.1,+24.7,25.0,3:17.4,+13.6,66.0,48:06.9,+3:55.5,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
75,,BTCZE10801198801,KRUPCIK Tomas,CZE,2+1+1+1,5,57:05.8,,,,+8:08.8,0,80.0,2:11.1,+34.7,76.0,3:35.8,+32.0,59.0,47:54.3,+3:42.9,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
76,,BTKAZ12807199801,MUKHIN Alexandr,KAZ,0+2+0+2,4,57:08.2,,65,,+8:11.2,0,82.0,2:11.9,+35.5,87.0,3:47.5,+43.7,74.0,48:45.8,+4:34.4,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
77,,BTCZE12112199801,STVRTECKY Jakub,CZE,0+3+1+2,6,57:10.7,,,,+8:13.7,0,99.0,2:43.7,+1:07.3,100.0,4:08.0,+1:04.2,35.0,46:28.2,+2:16.8,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
78,,BTAUT11710199601,JAKOB Patrick,AUT,0+2+1+1,4,57:12.9,,,,+8:15.9,0,86.0,2:16.6,+40.2,81.0,3:38.7,+34.9,80.0,48:56.0,+4:44.6,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
79,,BTSWE10404200001,STEFANSSON Malte,SWE,0+1+2+3,6,57:24.1,,,,+8:27.1,0,14.0,1:48.1,+11.7,16.0,3:11.4,+7.6,52.0,47:38.6,+3:27.2,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
80,,BTBUL12703199201,GERDZHIKOV Dimitar,BUL,1+2+1+2,6,57:26.7,,61,,+8:29.7,0,999.0,1:52.5,+16.1,24.0,3:17.3,+13.5,51.0,47:34.5,+3:23.1,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
81,,BTLTU10604199801,BANYS Linas,LTU,0+1+2+0,3,57:32.7,,59,,+8:35.7,0,23.0,1:53.4,+17.0,43.0,3:23.2,+19.4,97.0,50:32.7,+6:21.3,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
82,,BTJPN10710199201,OZAKI Kosuke,JPN,2+0+1+2,5,57:34.2,,57,,+8:37.2,0,76.0,2:09.9,+33.5,74.0,3:35.5,+31.7,70.0,48:20.9,+4:09.5,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
83,,BTPOL10104198801,SZCZUREK Lukasz,POL,0+1+0+2,3,57:40.6,,55,,+8:43.6,0,59.0,2:02.5,+26.1,55.0,3:28.5,+24.7,98.0,50:35.9,+6:24.5,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
84,,BTEST11405199901,SIIMER Kristo,EST,1+0+1+2,4,57:47.6,,53,,+8:50.6,0,87.0,2:16.9,+40.5,86.0,3:45.6,+41.8,90.0,49:25.9,+5:14.5,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,Men 20km Individual,2020-11-28,2021,Male
